iter	Passed	Remaining
0	162	80850
1	183	45788
2	202	33506
3	220	27287
4	242	23977
5	260	21417
6	278	19588
7	300	18492
8	318	17394
9	336	16495
10	351	15635
11	370	15059
12	390	14610
13	415	14423
14	433	14008
15	457	13841
16	478	13597
17	517	13846
18	547	13860
19	569	13675
20	589	13445
21	610	13262
22	631	13102
23	650	12905
24	664	12623
25	679	12394
26	696	12202
27	713	12021
28	729	11844
29	745	11681
30	762	11538
31	779	11399
32	800	11327
33	816	11194
34	833	11075
35	846	10912
36	862	10797
37	879	10693
38	896	10593
39	912	10496
40	928	10398
41	945	10312
42	1015	10793
43	1051	10902
44	1070	10818
45	1087	10738
46	1104	10649
47	1121	10557
48	1136	10464
49	1152	10373
50	1168	10286
51	1184	10202
52	1202	10143
53	1221	10091
54	1238	10020
55	1256	9960
56	1272	9892
57	1289	9824
58	1305	9754
59	1320	9685
60	1337	9627
61	1356	9581
62	1379	9565
63	1399	9532
64	1417	9484
65	1436	9448
66	1456	9411
67	1475	9372
68	1494	9333
69	1512	9291
70	1549	9363
71	1572	9346
72	1594	9324
73	1618	9315
74	1637	9280
75	1659	9258
76	1681	9239
77	1703	9216
78	1725	9193
79	1747	9173
80	1768	9148
81	1786	9108
82	1806	9073
83	1824	9034
84	1842	8997
85	1861	8960
86	1880	8925
87	1898	8890
88	1916	8850
89	1938	8831
90	1958	8803
91	1979	8780
92	1998	8744
93	2016	8708
94	2036	8681
95	2056	8654
96	2085	8663
97	2106	8639
98	2143	8682
99	2171	8686
100	2193	8665
101	2216	8648
102	2234	8612
103	2252	8576
104	2269	8538
105	2287	8503
106	2306	8470
107	2324	8438
108	2349	8427
109	2374	8417
110	2398	8405
111	2422	8391
112	2445	8374
113	2469	8363
114	2495	8353
115	2589	8571
116	2718	8900
117	2810	9099
118	2958	9471
119	3033	9605
120	3057	9577
121	3081	9547
122	3101	9505
123	3121	9464
124	3141	9424
125	3164	9393
126	3183	9348
127	3200	9302
128	3217	9254
129	3234	9205
130	3253	9163
131	3274	9129
132	3294	9091
133	3328	9092
134	3442	9306
135	3515	9408
136	3547	9398
137	3566	9355
138	3582	9303
139	3597	9251
140	3615	9204
141	3631	9154
142	3649	9110
143	3666	9064
144	3683	9019
145	3712	9001
146	3734	8968
147	3754	8929
148	3773	8889
149	3822	8918
150	3840	8876
151	3859	8836
152	3878	8797
153	3897	8756
154	3915	8715
155	3935	8677
156	3956	8643
157	3977	8610
158	3998	8574
159	4019	8541
160	4041	8508
161	4061	8474
162	4082	8440
163	4104	8408
164	4126	8377
165	4146	8343
166	4167	8309
167	4188	8276
168	4210	8246
169	4233	8217
170	4254	8185
171	4275	8153
172	4299	8126
173	4333	8118
174	4356	8091
175	4377	8059
176	4398	8027
177	4421	7998
178	4443	7968
179	4463	7935
180	4484	7904
181	4506	7873
182	4528	7845
183	4547	7810
184	4567	7777
185	4586	7742
186	4603	7705
187	4624	7674
188	4644	7642
189	4665	7612
190	4685	7580
191	4704	7546
192	4725	7516
193	4744	7483
194	4762	7449
195	4779	7412
196	4795	7375
197	4811	7339
198	4828	7303
199	4854	7281
200	4872	7247
201	4890	7214
202	4907	7180
203	4927	7149
204	4942	7113
205	4958	7076
206	4974	7041
207	4991	7006
208	5006	6971
209	5022	6936
210	5038	6901
211	5054	6866
212	5071	6833
213	5092	6805
214	5110	6774
215	5126	6741
216	5143	6707
217	5160	6675
218	5177	6643
219	5193	6610
220	5209	6577
221	5226	6544
222	5243	6513
223	5263	6485
224	5279	6452
225	5295	6419
226	5311	6387
227	5327	6355
228	5343	6323
229	5366	6299
230	5387	6273
231	5407	6247
232	5426	6218
233	5443	6187
234	5459	6156
235	5475	6125
236	5491	6094
237	5508	6064
238	5524	6032
239	5541	6003
240	5560	5975
241	5579	5948
242	5599	5922
243	5620	5897
244	5639	5869
245	5657	5841
246	5675	5813
247	5694	5786
248	5713	5759
249	5731	5731
250	5749	5704
251	5770	5678
252	5791	5654
253	5811	5628
254	5840	5611
255	5903	5626
256	5992	5665
257	6136	5756
258	6197	5766
259	6222	5744
260	6249	5722
261	6278	5703
262	6304	5681
263	6331	5659
264	6357	5637
265	6382	5614
266	6408	5592
267	6437	5573
268	6461	5548
269	6483	5522
270	6505	5497
271	6528	5472
272	6549	5446
273	6567	5417
274	6584	5387
275	6602	5358
276	6621	5330
277	6650	5311
278	6718	5321
279	6842	5376
280	6894	5373
281	6913	5344
282	6933	5316
283	6962	5295
284	6983	5267
285	6999	5237
286	7016	5207
287	7033	5177
288	7050	5147
289	7067	5117
290	7083	5087
291	7098	5056
292	7115	5027
293	7135	4999
294	7151	4969
295	7167	4940
296	7183	4909
297	7199	4880
298	7216	4850
299	7232	4821
300	7248	4792
301	7265	4763
302	7282	4734
303	7301	4707
304	7318	4679
305	7334	4650
306	7350	4620
307	7366	4592
308	7382	4563
309	7398	4534
310	7424	4512
311	7485	4510
312	7538	4503
313	7620	4514
314	7676	4508
315	7714	4491
316	7732	4464
317	7754	4437
318	7775	4411
319	7796	4385
320	7821	4361
321	7838	4332
322	7855	4304
323	7873	4276
324	7891	4249
325	7909	4221
326	7926	4193
327	7944	4165
328	7963	4139
329	7984	4113
330	8014	4092
331	8034	4065
332	8055	4039
333	8077	4014
334	8100	3989
335	8125	3965
336	8152	3943
337	8384	4018
338	8420	3999
339	8453	3978
340	8480	3954
341	8532	3941
342	8558	3917
343	8583	3892
344	8607	3867
345	8639	3845
346	8690	3831
347	8885	3880
348	8924	3861
349	8944	3833
350	8966	3806
351	8992	3780
352	9016	3754
353	9054	3734
354	9078	3708
355	9105	3683
356	9126	3655
357	9149	3629
358	9171	3602
359	9198	3577
360	9223	3551
361	9247	3525
362	9269	3498
363	9289	3470
364	9308	3443
365	9326	3414
366	9345	3386
367	9364	3358
368	9383	3331
369	9402	3303
370	9421	3276
371	9443	3249
372	9461	3221
373	9477	3193
374	9498	3166
375	9529	3142
376	9557	3118
377	9584	3093
378	9648	3080
379	9679	3056
380	9818	3066
381	9846	3041
382	9912	3028
383	9947	3004
384	9979	2980
385	10008	2956
386	10139	2960
387	10205	2945
388	10279	2933
389	10351	2919
390	10409	2901
391	10436	2875
392	10463	2848
393	10486	2821
394	10506	2792
395	10524	2764
396	10550	2737
397	10580	2711
398	10609	2685
399	10628	2657
400	10646	2628
401	10675	2602
402	10884	2619
403	11037	2622
404	11175	2621
405	11209	2595
406	11237	2567
407	11285	2544
408	11317	2518
409	11345	2490
410	11372	2462
411	11393	2433
412	11413	2404
413	11436	2375
414	11457	2346
415	11482	2318
416	11502	2289
417	11524	2260
418	11547	2232
419	11582	2206
420	11607	2178
421	11649	2153
422	11669	2124
423	11688	2095
424	11707	2065
425	11729	2037
426	11744	2007
427	11760	1978
428	11776	1948
429	11791	1919
430	11807	1890
431	11823	1861
432	11840	1832
433	11858	1803
434	11876	1774
435	11892	1745
436	11909	1716
437	11925	1688
438	11944	1659
439	11960	1630
440	11977	1602
441	11996	1574
442	12014	1545
443	12033	1517
444	12051	1489
445	12068	1461
446	12085	1432
447	12103	1404
448	12122	1376
449	12150	1350
450	12184	1323
451	12205	1296
452	12235	1269
453	12255	1241
454	12273	1213
455	12290	1185
456	12312	1158
457	12329	1130
458	12346	1102
459	12365	1075
460	12382	1047
461	12398	1019
462	12414	992
463	12429	964
464	12445	936
465	12465	909
466	12481	882
467	12501	854
468	12520	827
469	12538	800
470	12557	773
471	12577	746
472	12614	720
473	12636	693
474	12653	665
475	12670	638
476	12687	611
477	12704	584
478	12747	558
479	12765	531
480	12783	504
481	12801	478
482	12819	451
483	12838	424
484	12856	397
485	12874	370
486	12898	344
487	12917	317
488	12935	290
489	12953	264
490	12970	237
491	12988	211
492	13006	184
493	13024	158
494	13048	131
495	13067	105
496	13086	78
497	13104	52
498	13122	26
499	13143	0
