flag_name,flag_on,latency,cpu,error,timestamp,conversion_rate,traffic_low,traffic_medium,user_web,region_EU,region_LATAM,region_US,release_window_normal,release_window_post-release
provisioning_enable_service_status_updates,0,97,53,0,,0.0,False,True,True,True,False,False,False,False
cart_fees_shipping_fees,1,116,40,0,,0.0,True,False,False,False,False,True,False,False
billing_enable_bundle_discounts,1,174,53,0,,0.0,False,True,False,True,False,False,False,False
customer_enable_customer_segmentation,1,148,44,0,,0.0,True,False,True,True,False,False,False,False
cart_product_management_product_sorting,1,192,39,0,,0.0,True,False,True,False,True,False,False,False
cart_pricing_time_based_pricing,1,212,67,1,,0.0,False,False,False,True,False,False,False,False
payment_billing_enable_bill_generation,0,127,41,0,,0.0,False,True,False,True,False,False,False,False
inventory_enable_stock_counting,1,183,60,0,,0.0,False,True,True,True,False,False,False,False
inventory_enable_stock_transfer,1,109,47,0,,0.0,False,True,True,False,False,False,False,False
billing_enable_manual_reconciliation,0,143,42,0,,0.0,False,False,False,True,False,False,False,False
provisioning_enable_service_termination,1,191,69,0,,0.0,True,False,True,False,False,False,False,False
customer_enable_bulk_operations,1,129,65,0,,0.0,True,False,True,False,False,True,False,False
billing_enable_late_fee_calculation,1,170,72,0,,0.0,False,True,False,False,False,False,False,False
cart_analytics_revenue_tracking,1,227,83,1,,0.0,False,False,False,False,False,True,False,False
cart_inventory_real_time_sync,0,99,41,0,,0.0,False,False,False,True,False,False,False,False
catalog_enable_product_versioning,1,361,69,0,,0.0,False,False,True,False,False,False,False,False
inventory_enable_equipment_registration,1,238,96,1,,0.0,False,False,True,False,True,False,False,False
customer_enable_data_export,0,149,54,0,,0.0,False,False,False,True,False,False,False,False
customer_enable_phone_verification,1,173,52,0,,0.0,True,False,False,False,True,False,False,False
order_pricing_enable_billing_sync,0,89,52,0,,0.0,False,True,True,False,False,True,False,False
inventory_enable_cross_warehouse_transfer,0,145,37,0,,0.0,True,False,False,False,False,True,False,False
catalog_enable_category_recommendations,0,140,55,0,,0.0,True,False,False,True,False,False,False,False
billing_enable_write_off_management,0,139,57,0,,0.0,False,True,False,False,True,False,False,False
provisioning_enable_workflow_automation,1,149,63,0,,0.0,False,True,True,False,True,False,False,False
catalog_enable_product_modification,1,135,69,0,,0.0,False,True,False,False,True,False,False,False
cart_tax_by_region,1,156,47,0,,0.0,True,False,True,False,False,True,False,False
notification_failover_enable,1,178,47,0,,0.0,True,False,False,False,False,True,False,False
cart_compatibility_sim_card_compatibility,1,137,44,0,,0.0,False,True,False,True,False,False,False,False
catalog_enable_promotional_pricing,0,144,59,0,,0.0,True,False,True,False,True,False,False,False
customer_enable_customer_journey_tracking,0,88,51,0,,0.0,False,True,True,False,False,True,False,False
payment_dispute_enable_chargeback_handling,0,90,43,0,,0.0,False,False,True,False,False,True,False,False
catalog_enable_warehouse_management,1,320,85,0,,0.0,False,False,True,False,False,False,False,False
order_fulfillment_enable_shipping,1,290,68,0,,0.0,False,False,True,False,True,False,False,False
order_products_enable_addon_products,1,312,93,0,,0.0,False,False,False,False,False,False,False,False
provisioning_enable_voice_config,1,139,46,0,,0.0,True,False,True,True,False,False,False,False
inventory_enable_valuation_methods,1,180,50,0,,0.0,False,True,True,False,False,False,False,False
payment_notification_enable_payment_confirmation,1,161,48,0,,0.0,True,False,False,True,False,False,False,False
catalog_enable_view_analytics,0,127,48,0,,0.0,True,False,True,False,False,True,False,False
payment_reconciliation_enable_payment_reconciliation,0,106,51,0,,0.0,True,False,True,False,False,False,False,False
