iter	Passed	Remaining
0	202	101157
1	274	68404
2	346	57435
3	423	52462
4	528	52286
5	618	50908
6	683	48149
7	753	46313
8	857	46762
9	939	46014
10	1027	45696
11	1125	45779
12	1201	44996
13	1262	43826
14	1355	43838
15	1459	44161
16	1521	43230
17	1575	42198
18	1660	42036
19	1701	40839
20	1774	40480
21	1830	39780
22	1885	39113
23	1969	39066
24	2002	38046
25	2056	37495
26	2128	37292
27	2196	37026
28	2281	37054
29	2384	37358
30	2471	37391
31	2545	37233
32	2623	37126
33	2742	37583
34	2786	37024
35	2850	36740
36	2975	37238
37	3056	37158
38	3126	36951
39	3203	36835
40	3274	36654
41	3347	36508
42	3446	36632
43	3492	36193
44	3604	36442
45	3688	36402
46	3799	36621
47	3875	36490
48	3946	36321
49	4003	36033
50	4090	36009
51	4190	36100
52	4418	37267
53	4497	37142
54	4602	37242
55	4720	37429
56	4809	37380
57	4882	37206
58	4957	37058
59	5047	37012
60	5097	36684
61	5172	36538
62	5277	36608
63	5347	36430
64	5458	36529
65	5537	36415
66	5634	36412
67	5736	36442
68	5787	36148
69	5870	36059
70	5978	36123
71	6058	36016
72	6110	35744
73	6235	35897
74	6342	35942
75	6397	35689
76	6535	35901
77	6666	36069
78	6707	35743
79	6811	35758
80	6883	35608
81	6956	35459
82	7037	35356
83	7087	35100
84	7170	35010
85	7249	34899
86	7312	34712
87	7402	34658
88	7455	34431
89	7552	34404
90	7611	34209
91	7692	34112
92	7750	33918
93	7809	33731
94	7912	33733
95	7994	33644
96	8073	33541
97	8198	33631
98	8292	33588
99	8336	33346
100	8401	33189
101	8537	33314
102	8638	33297
103	8705	33148
104	8834	33232
105	8879	33005
106	8956	32897
107	9065	32903
108	9127	32743
109	9191	32589
110	9254	32431
111	9357	32418
112	9461	32402
113	9611	32542
114	9690	32441
115	9774	32357
116	9872	32318
117	9972	32284
118	10044	32157
119	10114	32027
120	10216	31999
121	10324	31988
122	10389	31842
123	10479	31777
124	10528	31585
125	10578	31399
126	10688	31393
127	10746	31230
128	10853	31213
129	10931	31111
