flag_name,flag_on,traffic,user,region,latency,cpu,error
provisioning_enable_service_status_updates,0,medium,web,EU,97,53,0
cart_fees_shipping_fees,1,low,mobile,US,116,40,0
billing_enable_bundle_discounts,1,medium,mobile,EU,174,53,0
customer_enable_customer_segmentation,1,low,web,EU,148,44,0
cart_product_management_product_sorting,1,low,web,LATAM,192,39,0
cart_pricing_time_based_pricing,1,high,mobile,EU,212,67,1
payment_billing_enable_bill_generation,0,medium,mobile,EU,127,41,0
inventory_enable_stock_counting,1,medium,web,EU,183,60,0
inventory_enable_stock_transfer,1,medium,web,APAC,109,47,0
billing_enable_manual_reconciliation,0,high,mobile,EU,143,42,0
provisioning_enable_service_termination,1,low,web,APAC,191,69,0
customer_enable_bulk_operations,1,low,web,US,129,65,0
billing_enable_late_fee_calculation,1,medium,mobile,APAC,170,72,0
cart_analytics_revenue_tracking,1,high,mobile,US,227,83,1
cart_inventory_real_time_sync,0,high,mobile,EU,99,41,0
catalog_enable_product_versioning,1,high,web,APAC,361,69,0
inventory_enable_equipment_registration,1,high,web,LATAM,238,96,1
customer_enable_data_export,0,high,mobile,EU,149,54,0
customer_enable_phone_verification,1,low,mobile,LATAM,173,52,0
order_pricing_enable_billing_sync,0,medium,web,US,89,52,0
inventory_enable_cross_warehouse_transfer,0,low,mobile,US,145,37,0
catalog_enable_category_recommendations,0,low,mobile,EU,140,55,0
billing_enable_write_off_management,0,medium,mobile,LATAM,139,57,0
provisioning_enable_workflow_automation,1,medium,web,LATAM,149,63,0
catalog_enable_product_modification,1,medium,mobile,LATAM,135,69,0
cart_tax_by_region,1,low,web,US,156,47,0
notification_failover_enable,1,low,mobile,US,178,47,0
cart_compatibility_sim_card_compatibility,1,medium,mobile,EU,137,44,0
catalog_enable_promotional_pricing,0,low,web,LATAM,144,59,0
customer_enable_customer_journey_tracking,0,medium,web,US,88,51,0
payment_dispute_enable_chargeback_handling,0,high,web,US,90,43,0
catalog_enable_warehouse_management,1,high,web,APAC,320,85,0
order_fulfillment_enable_shipping,1,high,web,LATAM,290,68,0
order_products_enable_addon_products,1,high,mobile,APAC,312,93,0
provisioning_enable_voice_config,1,low,web,EU,139,46,0
inventory_enable_valuation_methods,1,medium,web,APAC,180,50,0
payment_notification_enable_payment_confirmation,1,low,mobile,EU,161,48,0
catalog_enable_view_analytics,0,low,web,US,127,48,0
payment_reconciliation_enable_payment_reconciliation,0,low,web,APAC,106,51,0
billing_tax_calculation,1,medium,mobile,EU,140,64,0
billing_enable_audit_trail,0,high,mobile,EU,114,35,0
customer_enable_account_hierarchy,1,low,mobile,EU,154,66,0
cart_operations_anonymous_cart,1,low,web,LATAM,146,47,0
catalog_enable_plan_bundling,1,high,mobile,US,284,93,0
provisioning_enable_encryption,1,medium,mobile,LATAM,189,47,0
billing_enable_history_tracking,1,low,web,APAC,176,46,0
cart_product_management_recently_viewed,0,high,mobile,LATAM,121,42,0
catalog_enable_review_ratings,0,medium,mobile,EU,118,42,0
auth_enable_2fa,1,low,mobile,LATAM,169,57,0
notification_diag_headers_enable,1,medium,web,APAC,205,65,0
cart_pricing_loyalty_discounts,1,low,mobile,EU,126,39,0
catalog_enable_bundle_pricing,1,high,mobile,LATAM,279,91,0
cart_bundling_bundle_conflicts,0,high,web,LATAM,108,35,0
cart_bundling_device_plan_bundles,1,low,web,US,187,49,0
catalog_enable_stock_levels,1,high,mobile,LATAM,317,84,1
cart_product_management_product_comparison,1,high,mobile,EU,249,81,0
