flag_name,flag_on,traffic,user,region,latency,cpu,error,timestamp,release_window
customer_enable_language_preferences,0,low,web,EU,140,59,0,2025-01-18T22:17:00,normal
notification_sms_unicode_enable,1,medium,web,EU,142,75,0,2025-01-28T20:38:00,normal
payment_advanced_enable_payment_optimization,1,low,mobile,US,214,80,0,2025-01-25T16:24:00,normal
provisioning_enable_roaming_config,0,medium,mobile,US,134,47,0,2025-02-15T14:58:00,normal
cart_inventory_backorder_support,1,medium,web,EU,169,76,0,2025-01-16T03:03:00,normal
cart_compatibility_device_service_compatibility,1,high,mobile,APAC,359,89,0,2025-02-02T07:21:00,normal
cart_inventory_reserve_items,1,low,web,APAC,235,56,0,2025-01-03T13:33:00,normal
provisioning_enable_audit_logs,1,medium,web,LATAM,144,86,1,2025-02-07T06:49:00,normal
catalog_enable_bundle_management,0,low,web,EU,153,60,0,2025-01-11T08:15:00,normal
catalog_enable_dynamic_pricing,1,medium,web,US,183,80,0,2025-01-18T22:34:00,normal
notification_multichannel_enable,1,high,web,LATAM,321,105,0,2025-01-03T01:16:00,normal
catalog_enable_regional_pricing,1,low,mobile,APAC,201,60,0,2025-01-01T14:01:00,normal
catalog_enable_availability_check,1,low,web,LATAM,193,74,0,2025-02-26T21:04:00,normal
inventory_enable_disposal_tracking,0,low,mobile,EU,126,54,1,2025-02-21T10:06:00,post-release
cart_notifications_promotional_notifications,0,low,mobile,EU,124,49,0,2025-02-19T00:33:00,normal
billing_enable_penalty_assessment,0,high,mobile,US,336,93,0,2025-01-16T15:17:00,normal
customer_enable_address_validation,1,low,mobile,EU,191,82,0,2025-01-21T01:04:00,normal
catalog_enable_category_management,0,medium,mobile,US,159,64,0,2025-02-17T11:50:00,post-release
payment_method_enable_debit_card,1,low,web,EU,166,66,0,2025-01-11T00:01:00,normal
payment_transaction_enable_payment_authorization,0,high,mobile,LATAM,321,89,0,2025-01-06T09:01:00,normal
provisioning_enable_network_slicing,1,high,web,US,392,103,0,2025-02-14T11:02:00,post-release
auth_enable_mfa,0,medium,web,US,158,55,0,2025-02-03T08:49:00,normal
notification_channel_push_enable,0,medium,web,EU,115,65,0,2025-02-07T19:52:00,normal
customer_enable_profile_completion_tracking,0,medium,web,LATAM,153,60,0,2025-01-07T00:47:00,normal
inventory_enable_order_shipping,0,medium,mobile,US,140,51,0,2025-01-14T08:02:00,normal
catalog_enable_device_catalog,1,medium,web,EU,149,88,1,2025-01-18T04:28:00,normal
cart_pricing_region_based_pricing,0,medium,web,APAC,115,61,0,2025-02-06T15:40:00,normal
billing_enable_subscription_discount,0,low,web,US,113,41,1,2025-02-01T19:57:00,normal
cart_operations_cart_sharing,0,low,web,LATAM,104,54,0,2025-02-07T13:43:00,normal
catalog_enable_regional_availability,1,low,web,EU,167,66,0,2025-01-13T00:31:00,normal
customer_enable_consent_tracking,1,low,web,LATAM,187,58,0,2025-02-15T10:52:00,post-release
cart_compatibility_network_compatibility,0,low,mobile,APAC,127,50,0,2025-03-01T07:05:00,normal
billing_enable_advance_payment_tracking,1,low,mobile,US,146,64,0,2025-02-07T04:43:00,normal
customer_enable_language_preferences,0,low,web,US,156,42,1,2025-01-24T23:40:00,normal
cart_financing_financing_options,1,high,mobile,APAC,338,80,0,2025-02-15T19:38:00,normal
cart_offers_free_shipping_offers,0,low,mobile,US,119,53,0,2025-02-24T06:57:00,normal
cart_offers_bundle_offers,1,medium,web,LATAM,196,71,0,2025-02-25T08:18:00,normal
customer_enable_document_upload,1,high,mobile,LATAM,347,90,1,2025-02-10T00:00:00,normal
order_products_enable_service_products,1,low,web,US,201,74,0,2025-01-18T11:45:00,post-release
customer_enable_address_management,1,high,mobile,EU,414,95,1,2025-01-25T00:55:00,normal
catalog_enable_inventory_sync,1,low,web,LATAM,218,67,0,2025-01-09T08:20:00,normal
cart_inventory_availability_alerts,1,low,web,US,157,53,0,2025-01-12T21:05:00,normal
customer_enable_addon_management,0,high,mobile,LATAM,370,92,0,2025-01-25T08:18:00,normal
catalog_enable_plan_comparisons,0,low,web,US,151,47,0,2025-02-09T15:56:00,normal
