flag_name,flag_on,traffic,user,region,latency,cpu,error
order_pricing_enable_tax_calculation,1,low,mobile,EU,163,55,0
payment_billing_enable_billing_cycle_management,0,medium,mobile,APAC,105,53,0
inventory_enable_turnover_analysis,1,low,mobile,APAC,152,50,0
billing_enable_promotional_pricing,0,medium,mobile,APAC,167,51,0
inventory_enable_inventory_adjustment,0,high,mobile,US,123,50,0
provisioning_enable_overage_charges,0,medium,web,LATAM,102,57,0
notification_channel_email_enable,0,low,mobile,LATAM,160,41,1
order_notifications_enable_order_updates,1,medium,mobile,APAC,111,57,0
cart_checkout_guest_checkout,1,medium,web,EU,137,46,0
notification_idempotency_enable,0,low,mobile,EU,112,42,0
inventory_enable_price_management,1,low,mobile,EU,149,47,0
cart_analytics_session_tracking,0,low,mobile,LATAM,166,50,0
customer_enable_phone_verification,1,low,mobile,US,112,42,0
catalog_enable_device_pricing,0,low,mobile,EU,119,54,0
billing_enable_payment_reconciliation,1,low,mobile,APAC,164,56,0
customer_enable_behavior_analytics,0,low,web,LATAM,157,51,0
cart_product_management_product_filtering,1,medium,mobile,EU,417,106,1
inventory_enable_order_shipping,0,high,mobile,APAC,113,41,0
notification_sms_fragmentation_enable,1,medium,mobile,APAC,153,64,0
cart_product_management_product_comparison,0,low,web,EU,117,47,0
inventory_enable_order_fulfillment,0,low,mobile,EU,136,41,0
inventory_enable_order_shipping,1,high,mobile,APAC,160,55,0
customer_enable_addon_management,1,medium,web,EU,143,42,0
catalog_enable_pricing_rules,0,low,mobile,LATAM,169,59,0
cart_offers_loyalty_rewards,1,medium,web,APAC,130,42,0
provisioning_enable_slice_isolation,1,low,web,LATAM,160,54,0
cart_bundling_service_bundles,0,low,web,US,108,40,0
provisioning_enable_audit_logs,0,medium,mobile,APAC,123,46,0
cart_offers_free_shipping_offers,1,medium,mobile,US,132,44,0
cart_offers_referral_offers,1,high,web,LATAM,159,52,0
catalog_enable_view_analytics,1,medium,web,US,102,54,0
cart_financing_buy_now_pay_later,1,low,web,EU,132,50,1
cart_financing_device_financing,1,medium,web,LATAM,120,57,0
provisioning_enable_data_config,1,high,web,EU,101,50,0
catalog_enable_product_creation,0,low,web,APAC,116,63,0
inventory_enable_supplier_performance_tracking,0,medium,web,US,134,49,0
provisioning_enable_workflow_automation,1,medium,mobile,LATAM,121,40,0
auth_enable_session_timeout,0,low,mobile,US,161,49,0
cart_bundling_dynamic_bundles,1,low,web,APAC,139,50,0
catalog_enable_discount_rules,1,medium,mobile,APAC,128,62,0
customer_enable_subscription_management,0,low,mobile,EU,122,41,0
notification_failover_enable,0,medium,web,US,146,63,0
provisioning_enable_authentication,0,low,mobile,LATAM,168,45,0
catalog_enable_service_plans,1,medium,mobile,APAC,162,56,0
cart_notifications_stock_alerts,0,high,web,US,132,57,0
customer_enable_phone_verification,1,medium,web,US,105,60,0
billing_tax_compliance,0,medium,mobile,US,124,43,0
cart_fees_processing_fees,1,high,mobile,LATAM,128,48,0
cart_inventory_reserve_items,1,medium,web,US,137,64,0
inventory_enable_supplier_management,1,high,web,LATAM,140,45,0
provisioning_enable_voice_config,0,medium,web,EU,116,45,0
cart_analytics_cart_abandonment_tracking,1,low,mobile,APAC,100,50,0
billing_enable_advance_payment_tracking,1,low,web,EU,139,60,0
provisioning_enable_imei_assignment,1,medium,web,EU,140,56,0
payment_compliance_enable_pci_dss_compliance,1,medium,mobile,EU,115,49,0
catalog_enable_plan_comparisons,0,low,mobile,LATAM,162,52,0
payment_method_enable_digital_wallet,0,low,mobile,LATAM,117,53,0
customer_enable_customer_journey_tracking,1,medium,web,LATAM,116,64,0
inventory_enable_supplier_management,0,high,mobile,APAC,144,59,0
cart_fees_processing_fees,1,medium,web,EU,116,58,0
inventory_enable_price_management,0,high,web,LATAM,163,56,0
inventory_enable_stock_counting,1,low,web,EU,125,41,0
payment_analytics_enable_revenue_analytics,0,high,mobile,US,137,65,0
provisioning_enable_auto_scaling,1,low,web,US,138,47,0
