flag_name,flag_on,traffic,user,region,latency,cpu,error,conversion_rate
cart_financing_device_financing,1,low,web,APAC,158,44,0,0.0435
payment_currency_enable_currency_conversion,0,low,web,EU,119,38,0,0.0287
customer_enable_data_anonymization,1,high,web,APAC,152,46,0,0.0477
order_pricing_enable_tax_calculation,1,low,web,APAC,151,51,0,0.0464
order_lifecycle_enable_creation,1,low,web,US,134,54,0,0.0529
catalog_enable_discount_rules,1,high,web,LATAM,104,54,0,0.0379
customer_enable_invoice_access,1,medium,web,US,159,44,0,0.0602
provisioning_enable_add_on_management,1,low,mobile,US,146,51,0,0.0618
payment_recurring_enable_recurring_charges,1,low,web,EU,93,48,0,0.0673
inventory_enable_equipment_depreciation,0,medium,mobile,EU,142,65,0,0.0495
payment_reconciliation_enable_discrepancy_handling,0,high,web,APAC,161,63,0,0.0268
cart_notifications_stock_alerts,1,medium,web,LATAM,132,44,0,0.0749
auth_enable_mfa,1,medium,mobile,LATAM,115,54,0,0.0543
billing_enable_reconciliation_automation,1,medium,mobile,EU,133,49,0,0.0538
notification_metrics_enable,0,medium,mobile,EU,93,40,0,0.0332
order_advanced_enable_predictive_inventory,1,high,mobile,US,180,47,0,0.0258
customer_enable_language_preferences,1,low,mobile,EU,171,38,0,0.0537
catalog_enable_product_analytics,0,medium,mobile,LATAM,123,47,0,0.0213
customer_enable_subscription_management,1,high,web,APAC,148,54,1,0.0239
customer_enable_termination,0,high,web,LATAM,111,42,0,0.0085
cart_bundling_create_bundles,1,low,mobile,APAC,162,40,0,0.0509
catalog_enable_service_plans,1,low,web,APAC,108,51,0,0.0486
catalog_enable_discount_rules,0,low,mobile,LATAM,143,60,0,0.0243
cart_inventory_availability_alerts,1,low,mobile,US,180,68,0,0.0406
billing_enable_promotional_pricing,0,low,mobile,EU,116,38,0,0.0331
catalog_enable_discount_rules,0,medium,web,US,176,65,0,0.0266
inventory_enable_disposal_tracking,0,medium,mobile,US,106,44,0,0.0478
catalog_enable_dynamic_pricing,1,low,mobile,LATAM,168,63,0,0.0475
auth_enable_audit_logging,1,medium,web,APAC,97,62,0,0.0651
customer_enable_document_upload,1,low,mobile,US,117,46,0,0.0524
payment_reconciliation_enable_payment_reconciliation,0,low,mobile,LATAM,113,48,0,0.0336
billing_tax_reporting,0,high,web,APAC,106,40,0,0.014
cart_financing_installment_plans,1,low,web,LATAM,173,36,0,0.0626
inventory_enable_supplier_pricing,1,low,web,LATAM,162,62,1,0.0382
cart_fees_shipping_fees,1,high,mobile,EU,136,58,0,0.0288
cart_operations_cart_merge,1,medium,mobile,LATAM,170,51,0,0.0433
inventory_enable_warehouse_setup,1,medium,mobile,US,123,57,0,0.056
provisioning_enable_carrier_routing,1,medium,mobile,EU,157,63,0,0.0415
provisioning_enable_encryption,1,high,web,LATAM,100,64,0,0.0449
customer_enable_auto_renewal,1,medium,mobile,APAC,163,44,0,0.0649
catalog_enable_review_moderation,1,low,web,US,101,62,0,0.069
cart_offers_seasonal_offers,0,medium,mobile,APAC,94,36,0,0.0226
payment_advanced_enable_dynamic_pricing,0,medium,web,APAC,149,41,0,0.0212
auth_enable_email_verification,1,medium,mobile,APAC,156,66,0,0.0456
cart_notifications_order_updates,1,low,mobile,APAC,157,48,0,0.0637
catalog_enable_product_creation,1,low,web,LATAM,162,38,0,0.0401
cart_notifications_abandoned_cart_notifications,0,medium,web,LATAM,116,47,0,0.0327
catalog_enable_product_import,1,medium,web,US,150,68,0,0.0726
order_fulfillment_enable_picking,1,high,web,LATAM,174,43,0,0.0335
catalog_enable_volume_pricing,1,low,web,APAC,104,39,0,0.0384
cart_checkout_billing_address_validation,1,low,web,APAC,110,55,0,0.0751
customer_enable_contact_management,1,high,web,APAC,125,57,0,0.0428
billing_tax_calculation,0,medium,web,APAC,124,43,0,0.0397
cart_operations_quick_order,1,low,mobile,APAC,105,59,0,0.0581
inventory_enable_order_fulfillment,1,medium,mobile,EU,134,35,0,0.0587
customer_enable_communication_preferences,1,low,mobile,EU,145,45,0,0.0515
